行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,總價,經度,緯度
西屯區,16.76,273.72,5.9878026239999995,7,21,住,0,1,0,1,坡道平面,2017/3/13,24750000,120.63853999999999,24.162348
西屯區,32.54,260.39,4.870736565,7,14,住,4,2,3,1,坡道平面,2019/8/29,18980000,120.636381,24.178535
北屯區,18.17,203.0,6.097318905,18,21,住,2,2,2,1,坡道平面,2020/1/31,15300000,120.68611299999999,24.196138
大里區,24.33,87.21,38.45664182,1,5,住,3,2,3,0,無,2018/10/14,2900000,120.68861299999999,24.115703
南區,9.99,106.21,19.64722068,14,14,住,2,1,1,1,坡道平面,2019/12/28,5650000,120.65725,24.124036
北屯區,6.69,76.6,24.87114725,11,12,住,2,1,1,1,無,2019/6/29,3360000,120.701884,24.169414
西屯區,13.06,62.33,14.79838737,9,14,住,3,2,2,1,坡道平面,2020/4/21,2100000,120.64721499999999,24.177865
東區,15.71,152.15,18.66704997,4,12,住,3,1,1,1,無,2017/10/11,5200000,120.69603300000001,24.142938
北屯區,24.95,153.47,5.114410288999999,8,12,住,3,2,2,1,坡道平面,2019/12/3,11600000,120.69095,24.183541
大里區,30.19,136.8,-1.839873509,8,11,住,2,2,1,1,坡道平面,2018/5/27,7320000,120.694475,24.083573
西屯區,15.55,94.77,26.78220634,6,6,住,3,2,2,1,無,2018/9/29,6360000,120.653851,24.167227
西屯區,4.1,44.89,24.77532051,7,16,商,1,1,1,1,無,2019/4/22,2150000,120.638954,24.180007
西屯區,21.9,116.56,24.39475143,7,7,住,3,2,2,1,坡道機械,2017/7/24,6180000,120.656903,24.163104999999998
北屯區,9.47,143.84,22.36048653,13,24,住,3,2,2,1,坡道機械,2019/8/26,8060000,120.697477,24.171067999999998
西區,28.56,156.23,0.648883961,6,14,住,3,2,2,1,坡道平面,2019/7/9,12700000,120.67228700000001,24.152342
太平區,18.62,128.56,25.72811214,8,13,住,2,2,2,1,坡道機械,2020/3/16,5200000,120.72398799999999,24.129970999999998
西區,37.03,268.09,1.47299397,10,11,住,3,2,2,1,坡道平面,2017/6/5,25500000,120.662668,24.157889
南屯區,53.07,202.09,1.196465362,2,17,住,3,2,2,1,坡道平面,2018/6/20,19600000,120.62576299999999,24.151623999999998
北區,29.49,105.13,30.51944941,2,5,住,4,2,2,0,無,2017/9/24,4850000,120.669775,24.163543
南屯區,12.16,135.08,21.41864652,14,14,住,4,2,2,1,坡道機械,2018/6/12,8800000,120.639626,24.143017999999998
大里區,17.62,124.49,23.091507699999998,8,12,住,3,2,2,1,坡道平面,2017/12/11,4680000,120.69116799999999,24.085293
西區,44.12,104.25,42.49505466,3,4,住,3,2,2,0,無,2019/10/27,5880000,120.66228899999999,24.130551999999998
北屯區,25.21,158.37,25.7116847,7,8,住,4,2,2,1,坡道機械,2019/8/18,8300000,120.685194,24.173266
北屯區,31.55,172.48,0.09856465199999999,10,13,住,3,2,2,1,坡道平面,2017/3/26,12700000,120.69599099999999,24.18511
南區,23.08,167.43,2.89944352,7,15,住,3,2,2,1,坡道平面,2019/8/9,14000000,120.654802,24.119243
大里區,12.64,83.14,0.550319308,9,12,商,2,1,1,1,坡道機械,2019/12/17,6000000,120.682135,24.118068
南屯區,25.2,241.45,1.128017687,10,15,商,3,2,2,1,坡道平面,2019/3/21,19600000,120.64742199999999,24.133623999999998
西屯區,5.83,43.72,24.91221586,11,13,住,1,1,1,1,無,2020/1/19,3000000,120.63914299999999,24.181874
西屯區,35.68,412.41,8.158962881,9,20,住,3,2,3,1,坡道平面,2018/8/1,39880000,120.63128200000001,24.165727
北區,23.08,129.38,24.88483679,6,8,住,4,2,2,1,坡道平面,2018/10/12,5750000,120.702127,24.158895
大雅區,27.96,160.26,0.07666139599999999,14,14,住,3,2,2,1,坡道平面,2020/2/10,10750000,120.64913,24.217677
南屯區,12.36,139.04,18.07018625,9,14,住,3,2,2,1,坡道平面,2017/1/12,8600000,120.633784,24.151882
烏日區,6.94,68.61,24.21678748,11,14,住,2,1,1,1,坡道機械,2020/4/7,3750000,120.63420900000001,24.107042
北區,6.19,38.7,22.00455862,6,8,住,1,0,1,1,無,2017/6/15,2000000,120.682029,24.161263
烏日區,36.09,155.44,-1.1198039659999999,4,13,住,3,2,2,1,坡道平面,2018/12/7,7600000,120.60633100000001,24.105504
北區,2.39,30.61,22.20716373,11,13,住,1,0,1,1,無,2018/8/16,1520000,120.671653,24.173351
北區,6.68,53.98,26.96564611,5,7,住,1,0,1,1,無,2018/11/1,2000000,120.677373,24.14909
東區,24.71,73.08,35.6749283,6,7,住,3,1,1,1,無,2019/12/26,3200000,120.69059399999999,24.144051
北屯區,9.3,73.21,25.48170051,3,12,住,3,1,1,1,無,2018/5/28,3760000,120.686443,24.181455
北屯區,31.38,170.47,-2.231394211,5,15,住,3,2,2,1,坡道平面,2018/1/4,10430000,120.704448,24.17161
南屯區,37.6,233.15,4.405292374,8,15,住,3,2,2,1,坡道平面,2018/3/21,13000000,120.60943799999998,24.150348
西區,10.42,38.28,36.57843761,2,5,住,1,1,1,0,無,2019/12/20,1500000,120.661162,24.132867
北屯區,18.18,106.3,25.72811214,4,8,住,2,2,2,1,升降機械,2020/1/10,4800000,120.68229099999999,24.17565
南屯區,14.49,114.41,24.55355004,3,8,住,3,2,2,1,坡道平面,2017/11/14,4500000,120.61250600000001,24.149654
南屯區,46.11,351.79,1.511324668,9,14,住,3,2,2,1,坡道平面,2017/4/9,29300000,120.63883899999999,24.142868
西屯區,43.3,291.21,3.0116977080000003,9,14,住,3,2,2,1,坡道平面,2018/11/22,26600000,120.626392,24.184798999999998
中區,10.44,98.39,23.91835561,5,7,商,2,2,2,1,無,2017/7/28,3600000,120.68088700000001,24.142232
北屯區,21.47,147.29,26.43996797,6,8,住,4,2,2,1,坡道機械,2019/10/8,7800000,120.68508999999999,24.17446
西屯區,17.13,140.89,20.45490325,10,13,住,3,2,2,1,坡道平面,2019/7/22,9300000,120.622846,24.18028
中區,7.76,55.48,40.31841858,11,12,住,2,1,1,1,無,2018/6/30,3500000,120.685874,24.1396
大里區,24.74,68.49,39.9323737,3,4,住,3,2,2,0,無,2019/12/11,3750000,120.691751,24.10746
南區,20.45,161.08,1.850825137,19,20,住,3,1,2,1,坡道平面,2017/10/27,11500000,120.65629299999999,24.112614999999998
大雅區,24.82,173.68,4.29030028,10,12,商,3,2,2,1,坡道平面,2017/11/22,8800000,120.667051,24.21552
西屯區,9.26,147.19,2.757072356,8,27,商,3,2,2,1,坡道平面,2020/2/25,12880000,120.633553,24.171362
中區,4.85,29.76,35.02604434,7,10,住,1,0,1,1,無,2017/3/7,900000,120.67783999999999,24.146457
北屯區,23.18,196.41,0.580436285,9,14,住,4,2,2,1,坡道平面,2016/12/31,9080000,120.710393,24.161037
中區,5.35,33.56,42.12817512,9,12,住,1,1,1,1,無,2020/4/21,800000,120.682933,24.137273999999998
中區,4.49,37.94,36.7673532,10,11,住,1,1,1,1,無,2018/10/7,1450000,120.679014,24.146719
東區,29.22,148.68,0.876130242,5,11,住,3,2,2,1,坡道機械,2016/10/18,7920000,120.688548,24.129828
西屯區,19.93,237.25,11.32124547,12,23,住,3,2,2,1,坡道平面,2019/10/26,16000000,120.609973,24.192242
北屯區,28.71,197.97,28.10461543,12,14,住,4,2,2,1,坡道平面,2019/3/19,8300000,120.681996,24.189615
中區,4.38,41.47,25.59669261,7,7,住,1,1,1,1,無,2019/4/2,1450000,120.68088700000001,24.142232
大里區,9.6,93.88,25.22159935,4,12,住,3,2,1,1,無,2018/8/27,2500000,120.693573,24.091698
西屯區,17.6,140.7,4.6571798189999996,13,14,住,3,2,2,1,坡道機械,2017/7/19,10100000,120.638954,24.180007
北屯區,19.59,185.46,24.74794144,11,16,住,3,2,2,1,坡道機械,2016/12/22,7800000,120.682121,24.175832
中區,1.95,37.04,23.797887699999997,19,19,商,1,1,1,1,無,2020/3/7,1550000,120.67586399999999,24.144772
北區,9.52,107.52,0.317597213,2,21,商,2,1,1,1,坡道平面,2019/9/6,7780000,120.69211899999999,24.157736
南屯區,26.37,217.01,2.611963285,12,17,住,3,2,2,1,坡道平面,2017/12/27,13800000,120.60746499999999,24.14677
南區,29.6,88.61,37.24101111,1,5,住,3,2,2,0,無,2018/10/21,5430000,120.681738,24.121872
大里區,14.2,119.39,23.08055607,12,12,住,3,2,2,1,無,2018/5/9,4630000,120.68593700000001,24.121105
北區,23.11,92.89,32.8603599,10,12,住,3,2,2,1,無,2018/1/31,4600000,120.6862,24.15585
南區,13.2,150.87,12.4273599,12,13,住,3,2,2,1,坡道平面,2020/3/1,9800000,120.673053,24.130125
西區,5.22,70.61,35.89943668,9,15,住,3,2,2,1,無,2019/7/13,1000000,120.67063600000002,24.152531
北屯區,21.21,147.36,2.319007235,8,14,住,3,2,2,1,坡道平面,2018/4/23,7280000,120.740504,24.161138
北區,20.54,76.65,38.22391972,3,5,住,3,2,2,0,無,2017/4/17,4250000,120.68506000000001,24.15085
西屯區,35.97,474.82,3.277274687,6,27,住,4,2,3,1,坡道平面,2017/11/8,32570000,120.634606,24.172937
南屯區,20.58,186.61,16.71218437,14,14,住,3,2,2,1,坡道機械,2018/3/16,14200000,120.639626,24.143017999999998
北屯區,12.99,115.43,26.54127053,4,8,住,3,2,1,1,無,2019/10/28,5200000,120.690128,24.172242999999998
北區,3.96,32.18,21.97444164,8,16,住,1,1,1,1,無,2017/5/16,1680000,120.665374,24.159243
大雅區,27.04,131.75,23.24209258,4,6,住,3,2,2,1,無,2017/1/4,4700000,120.64689399999999,24.227218
南屯區,43.95,293.53,0.24367372399999998,8,15,住,3,2,2,1,坡道平面,2016/11/1,26580000,120.650178,24.139669
西屯區,15.66,146.6,22.95461235,10,16,住,3,2,2,1,坡道平面,2017/7/6,6200000,120.606582,24.188928
東區,13.61,100.54,6.508004956000001,5,10,商,3,2,2,1,坡道機械,2019/8/10,6350000,120.702168,24.143021
北屯區,12.21,129.66,24.84376818,2,13,住,3,2,2,1,坡道機械,2018/12/13,5800000,120.70312,24.186776000000002
南屯區,38.21,222.43,27.12444472,5,7,住,4,2,3,1,坡道機械,2020/4/26,12100000,120.65123600000001,24.155006
南屯區,13.63,111.73,24.62199771,3,16,住,3,2,2,1,坡道機械,2019/4/20,5600000,120.61816200000001,24.158269
北區,20.45,139.67,0.542105587,5,12,商,2,2,2,1,坡道平面,2017/8/4,9640000,120.68523799999998,24.154128
北屯區,7.79,71.06,24.33177957,5,14,住,2,2,1,1,無,2016/10/26,2800000,120.70001599999999,24.169557
南屯區,29.7,188.92,0.37509326,11,18,住,3,2,2,1,坡道平面,2019/12/2,10700000,120.60861499999999,24.144992000000002
南屯區,33.5,250.21,8.512152885,11,15,住,4,2,2,1,坡道平面,2018/4/4,20880000,120.64844599999999,24.143280999999998
北屯區,5.98,91.11,9.558033361,10,17,住,1,1,1,1,坡道平面,2020/3/31,6630000,120.685704,24.172837
北屯區,6.09,37.4,22.94366072,7,8,住,1,1,1,1,無,2018/1/6,1780000,120.690074,24.16662
北屯區,29.28,178.48,0.221770468,4,12,住,3,2,2,1,坡道平面,2017/5/30,12590000,120.664282,24.185928
北屯區,8.78,109.66,0.090350931,12,15,商,1,1,1,1,坡道平面,2018/10/17,7580000,120.68633799999999,24.204612
北區,3.68,29.33,22.17704676,8,16,住,1,1,1,1,無,2017/2/16,1200000,120.699026,24.153876999999998
西區,2.71,26.28,25.58574098,11,13,住,1,1,1,1,無,2020/4/25,1680000,120.66911499999999,24.146424
北屯區,20.74,126.4,25.18326865,5,7,住,3,2,2,1,坡道機械,2018/10/12,6800000,120.68478200000001,24.169644
西屯區,9.14,82.84,23.41184282,12,15,住,2,2,1,1,無,2018/1/23,5150000,120.62229099999999,24.184642999999998
北屯區,19.15,116.13,24.88209888,4,8,住,3,2,2,1,坡道機械,2018/11/3,5000000,120.66247,24.199601
西屯區,10.43,162.63,0.19165349,3,27,商,3,2,2,1,坡道平面,2017/8/2,15080000,120.624073,24.15521
豐原區,21.73,100.85,-2.220442583,6,12,住,2,2,2,1,無,2017/10/7,5270000,120.745476,24.264579
北屯區,24.03,78.93,37.07673669,2,5,住,3,2,1,0,無,2017/6/21,3800000,120.668676,24.186874
北屯區,20.72,189.8,2.6585077040000002,13,14,住,3,2,2,1,坡道平面,2018/4/21,11400000,120.740504,24.161138
西區,27.11,95.86,31.1820229,2,5,住,2,2,1,0,無,2018/12/7,4900000,120.652091,24.148503
南區,23.22,207.34,3.364887712,12,14,住,3,2,2,1,坡道平面,2018/6/30,13860000,120.660532,24.110766
中區,4.74,39.24,35.92681575,8,8,住,1,0,1,1,無,2018/5/28,1100000,120.674476,24.143867
南區,3.34,30.25,27.15182379,8,13,住,1,1,1,1,無,2020/5/25,1650000,120.65220900000001,24.113029
西屯區,16.73,94.78,20.58358488,5,9,住,3,1,1,1,無,2017/7/24,4750000,120.667052,24.177973
西屯區,14.75,79.75,23.52683491,5,7,住,3,2,2,1,無,2017/7/29,4300000,120.615292,24.180644
沙鹿區,26.03,153.02,0.25462535199999997,9,10,商,3,2,2,1,坡道平面,2020/3/12,8050000,120.567477,24.224027
南區,25.52,135.59,0.31212139899999997,4,12,住,3,1,2,1,坡道平面,2018/6/17,8300000,120.648051,24.112867
北屯區,21.06,90.15,29.54475451,4,5,住,3,2,2,0,無,2018/2/21,3000000,120.682121,24.175832
南屯區,12.85,126.74,23.93752096,11,12,住,3,2,2,1,坡道平面,2018/4/30,5500000,120.61250600000001,24.149654
南屯區,6.02,58.46,26.93826704,11,12,住,1,1,1,1,無,2017/6/12,3000000,120.647074,24.144767
西屯區,11.15,96.61,22.25918397,12,15,住,3,2,1,1,坡道機械,2017/7/23,6350000,120.63491,24.176417999999998
西屯區,26.47,192.29,3.014435615,2,9,商,3,2,2,1,坡道平面,2019/7/20,12500000,120.620605,24.185735
西屯區,19.98,194.67,1.401808388,14,25,住,3,2,2,1,坡道平面,2017/3/2,15800000,120.635733,24.173756
大雅區,24.33,143.38,3.638678412,6,12,住,2,2,2,1,坡道平面,2019/7/30,8500000,120.64671399999999,24.227959
西屯區,3.44,25.8,25.50907958,9,12,住,1,0,1,1,無,2019/4/18,1500000,120.641954,24.176541
西屯區,51.24,355.39,1.694764437,10,20,住,3,2,3,1,坡道平面,2018/8/11,34000000,120.636381,24.178535
太平區,12.54,110.34,28.22234543,3,13,住,3,2,2,1,無,2019/12/27,5360000,120.717417,24.152535999999998
大里區,31.63,156.35,3.7974770189999996,5,11,住,3,2,2,1,坡道平面,2019/1/17,7300000,120.68831200000001,24.095133999999998
南屯區,24.7,118.12,2.78992724,5,12,住,2,2,1,1,坡道平面,2020/3/22,8250000,120.631643,24.116365
北屯區,22.9,86.41,33.62423595,3,5,住,3,2,2,0,無,2017/5/7,3400000,120.690223,24.175778
東區,11.79,94.54,23.12710049,4,13,住,2,1,2,1,坡道機械,2017/8/17,4050000,120.71123,24.144576999999998
西屯區,21.95,209.23,9.506013128,15,15,住,4,2,2,1,坡道平面,2017/3/10,12000000,120.609973,24.192242
西屯區,11.29,131.79,21.85944954,5,12,住,3,2,2,1,無,2018/8/3,6600000,120.648357,24.171004999999997
北屯區,16.78,123.07,23.62266166,2,8,住,3,2,2,1,坡道機械,2017/9/23,5750000,120.684675,24.174441
北區,25.89,109.33,29.62962963,5,5,住,3,2,2,0,無,2017/9/27,3880000,120.69658999999999,24.160195
南屯區,18.46,57.57,38.18832693,5,5,住,3,2,1,0,無,2020/3/7,3500000,120.653195,24.136543
南屯區,4.35,39.42,24.15381562,5,16,住,1,1,1,1,無,2019/7/14,2880000,120.651008,24.157204999999998
北屯區,7.17,54.51,21.39400535,16,16,住,2,2,2,1,無,2017/1/4,2200000,120.692218,24.175660999999998
北區,22.26,131.46,27.67476403,6,7,住,3,2,2,1,升降機械,2018/6/18,6500000,120.68186499999999,24.167574
西區,29.84,107.15,36.70985715,5,5,住,3,2,1,0,無,2020/1/21,3300000,120.65373500000001,24.152895
西屯區,31.71,76.43,35.23686318,2,4,住,3,1,1,0,無,2018/12/8,4600000,120.659023,24.16883
大里區,21.33,108.8,24.537122600000004,1,6,住,3,2,2,1,無,2016/11/7,4600000,120.68146100000001,24.106233
西區,2.75,42.79,24.53438469,11,19,住,1,0,1,1,坡道機械,2019/7/27,2000000,120.667952,24.129922
南屯區,31.5,201.47,-0.22998418899999998,12,18,住,4,2,2,1,坡道平面,2019/4/25,11090000,120.60861499999999,24.144992000000002
南屯區,6.78,81.03,24.69044539,14,16,住,2,1,1,1,坡道機械,2020/2/8,5160000,120.635694,24.136298
中區,3.74,42.31,24.30166259,7,16,住,1,1,1,1,無,2018/2/20,1500000,120.67893899999999,24.145039
南屯區,14.95,104.46,13.08719549,9,12,住,3,2,2,1,無,2020/3/11,6550000,120.61243200000001,24.146767999999998
南區,27.69,103.88,31.26963593,4,5,住,3,2,2,1,無,2017/1/3,1294666,120.671103,24.123754
南屯區,22.3,216.37,1.095162803,8,15,商,3,2,2,1,坡道平面,2019/3/9,18000000,120.64742199999999,24.133623999999998
東區,33.03,204.7,3.556541202,2,9,住,3,2,2,1,坡道平面,2019/12/10,10550000,120.71064299999999,24.149518
大里區,22.57,89.09,13.90582969,3,5,住,3,1,1,0,無,2018/5/5,4500000,120.67891499999999,24.116432
北區,7.64,175.1,2.4120960730000003,15,28,商,3,2,2,1,坡道平面,2018/12/15,12200000,120.689378,24.157031
北屯區,23.35,188.74,4.380651211,15,15,住,4,2,2,1,坡道平面,2017/6/27,9700000,120.713606,24.181495
北區,5.7,66.37,13.71965201,10,18,住,1,1,1,1,無,2019/8/28,4100000,120.67511699999999,24.163264
豐原區,34.55,160.32,-3.0746695689999997,5,12,住,3,2,2,1,坡道平面,2016/11/29,7460000,120.74491599999999,24.264607
北屯區,23.05,147.54,-1.55513118,12,12,住,3,2,1,1,坡道平面,2018/4/30,9280000,120.70541000000001,24.193123999999997
北屯區,2.11,32.09,24.45772329,14,24,住,1,1,1,1,無,2019/12/10,1650000,120.692967,24.170967
南區,22.34,172.67,1.229320246,10,15,住,3,2,2,1,坡道平面,2018/3/6,11850000,120.65803799999999,24.109051
北屯區,15.73,154.76,0.8679165209999999,5,15,商,3,2,2,1,坡道機械,2019/4/13,10100000,120.721672,24.175619
